,USDA_Food_Name,Calories_kcal,Total_Fat_g,Sodium_mg,Total_Carbohydrate_g,Dietary_Fiber_g,Protein_g,Potassium_mg,Calcium_mg,Iron_mg,Land_Use_Score,Nitrogen_Score,Water_Use_Score,GHG_Emissions_Score,Cluster
16,Lowfat Milk,0.2404683349715157,0.0410454332431152,0.22839856353167,0.1924801788635,0.745022866405215,0.0406854220442715,0.1770848262730083,3.034528748837619,0.0792333682990498,0.958944598223314,0.9600796494564375,0.9611150820572946,0.8967814637568936,1
17,Reduced Fat Milk,0.2224960925670854,0.0664135080605214,0.22839856353167,0.2066720034707761,0.7181690956426031,0.0411785741739052,0.1770848262730083,3.034528748837619,0.0792333682990498,0.9559870354062425,0.957189290248526,0.9583036024566753,0.8890494654829636,1
18,Nonfat Milk,0.2631108117212756,0.1337932298505439,0.2447972124697197,0.2056649540402501,0.7484056287092744,0.0394655389525196,0.1479289940828402,3.397276830020844,0.0792333682990498,0.9670787056739302,0.9680190494238156,0.9688403498388356,0.917893740105523,1
19,Cheese,0.0926588304827047,0.7550854314651181,0.663821667816664,0.102820162979671,0.0079590987121764,0.0046582080678648,0.009909707008456,11.523334347602296,0.0519877794246403,0.9495906925886116,0.9509318126028071,0.9522186259103542,0.872235034452766,1
20,Sour Cream,0.2015529187218422,1.079261142306857,0.3154347409809363,0.1728919236875159,0.2721426624682696,0.0486631232497834,0.1966380704735775,2.020904367707572,0.0792333682990498,0.8799017048036111,0.8822108289827857,0.8855236869599493,0.6846012696674232,1
21,Yogurt,0.2224960925670854,0.1330802899619155,0.3267373614175111,0.0322706845807943,0.544244816808895,0.0224725860518901,0.0361171966175958,5.921384676197004,0.0792333682990498,0.9523732261654112,0.9536550207290411,0.9548664723510655,0.8795645901579019,1
22,"Egg, whole",0.071793692018743,0.716044113662478,0.7459342062778684,0.3896643635768207,0.3942112836236955,0.1168714844807475,0.3731496079113859,0.2966850467369449,0.442277989160919,0.9664496464194905,0.9082525550550787,0.8999893481909216,0.7575482697893837,1
23,"Egg, white",0.227664062725528,0.125614897617842,0.8532812774127024,0.3967639966554281,0.1689601927011023,0.0431808906520562,0.3047439651112795,0.0533742453412351,0.0343092413515075,0.9664496464194905,0.9082525550550787,0.8999893481909216,0.7575482697893837,1
24,"Egg, yolk",0.4362694555937105,1.3267711750980518,0.4298745837965745,0.4029867920936973,0.0001122350706977,0.294807308603685,0.4606785282856617,2.637200731411151,3.7136062073701392,0.9664496464194905,0.9082525550550787,0.8999893481909216,0.7575482697893837,1
25,Apples,0.1914491369422438,0.120262888136166,0.1385001216791102,0.3242872679666285,0.0113540870296147,0.1569917274472953,0.502751581662947,0.0925472843659444,0.0792333682990498,0.9955417292282984,0.9920761883926432,0.9287139525604351,0.9715607351955491,1
